Date,Open,High,Low,Close,Volume
2018-11-15,3510,3680,3510,3650,10279200
2018-11-16,3670,3790,3670,3760,8400000
2018-11-19,3770,3770,3640,3760,3775500
2018-11-21,3680,3840,3670,3800,9796500
2018-11-22,3800,4070,3800,3990,14795600
2018-11-23,3990,4060,3920,3980,3531900
2018-11-26,4000,4050,3910,3930,4321000
2018-11-27,3940,3970,3840,3900,3860100
2018-11-28,3900,3920,3820,3900,2351400
2018-11-29,3920,3980,3860,3970,5166500
2018-11-30,3980,3980,3900,3900,5305400
2018-12-03,3930,3950,3850,3870,3082300
2018-12-04,3850,3980,3780,3850,6488300
2018-12-05,3800,3820,3780,3790,3475900
2018-12-06,3780,3850,3780,3850,6472800
2018-12-07,3860,3980,3860,3960,5876700
2018-12-10,3970,4040,3900,3970,6022000
2018-12-11,3990,4280,3970,4260,14394500
2018-12-12,4290,4350,4230,4280,9137900
2018-12-13,4270,4400,4270,4350,10665700
2018-12-14,4350,4420,4300,4390,15631900
2018-12-17,4420,4430,4200,4200,7159600
2018-12-18,4200,4200,4090,4120,4192400
2018-12-19,4160,4410,4160,4390,10753500
2018-12-20,4390,4430,4330,4350,9298000
2018-12-21,4300,4430,4260,4330,4294600
2018-12-26,4330,4330,4210,4280,6577300
2018-12-27,4300,4360,4280,4350,2073900
2018-12-28,4380,4390,4290,4290,2135900
2019-01-02,4300,4330,4160,4240,4315900
2019-01-03,4300,4330,4240,4260,6108900
2019-01-04,4260,4370,4250,4350,8291600
2019-01-07,4400,4650,4400,4650,7658500
2019-01-08,4660,4690,4620,4640,7928200
2019-01-09,4680,4680,4550,4550,4365000
2019-01-10,4550,4580,4500,4530,11885000
2019-01-11,4530,4570,4500,4500,7669300
2019-01-14,4500,4520,4390,4430,7357700
2019-01-15,4440,4490,4440,4450,13028400
2019-01-16,4460,4540,4460,4530,9215000
2019-01-17,4550,4570,4460,4480,7593100
2019-01-18,4510,4750,4480,4750,12332300
2019-01-21,4780,4800,4580,4590,5944200
2019-01-22,4590,4600,4450,4480,5342900
2019-01-23,4470,4520,4450,4490,7457200
2019-01-24,4520,4770,4510,4690,9337900
2019-01-25,4730,4930,4730,4900,9664500
2019-01-28,4910,5100,4910,5100,12180400
2019-01-29,5100,5150,4990,5100,8613400
2019-01-30,5100,5175,5000,5050,8401200
2019-01-31,5075,5300,5075,5250,7134700
2019-02-01,5275,5600,5275,5425,11150800
2019-02-04,5425,5525,5275,5400,6815100
2019-02-06,5450,5600,5425,5550,4180400
2019-02-07,5550,5550,5350,5375,6396600
2019-02-08,5375,5425,5300,5350,3629400
2019-02-11,5350,5475,5350,5350,5383200
2019-02-12,5375,5425,5150,5350,5163000
